"AB","Aberdeen"
"AD","Agar"
"AF","Akaska"
"AH","Albee"
"AJ","Alcester"
"AL","Alexandria"
"AN","Alpena"
"AP","Altamont"
"AR","Andover"
"AV","Arlington"
"AX","Armour"
"AZ","Artas"
"BB","Artesian"
"BD","Ashton"
"BF","Astoria"
"BH","Aurora"
"BJ","Avon"
"BL","Badger"
"BN","Baltic"
"BP","Bancroft"
"BQ","Batesland"
"BR","Belle Fourche"
"BT","Belvidere"
"BV","Beresford"
"BX","Big Stone City"
"BZ","Bison"
"CB","Blunt"
"CD","Bonesteel"
"CF","Bowdle"
"CH","Box Elder"
"CJ","Bradley"
"CL","Brandon"
"CN","Brandt"
"CP","Brentford"
"CR","Bridgewater"
"CT","Bristol"
"CV","Britton"
"CX","Broadland"
"CZ","Brookings"
"DB","Bruce"
"DD","Bryant"
"DF","Buffalo"
"DH","Buffalo Gap"
"DJ","Burke"
"DL","Bushnell"
"DN","Butler"
"DP","Camp Crook"
"DR","Canistota"
"DT","Canova"
"DV","Canton"
"DZ","Carthage"
"EB","Castlewood"
"ED","Cavour"
"EF","Centerville"
"EH","Central City"
"EJ","Chamberlain"
"EL","Chancellor"
"EN","Chelsea"
"EP","Claire City"
"ER","Claremont"
"ET","Clark"
"EV","Clear Lake"
"EX","Colman"
"EZ","Colome"
"FB","Colton"
"FD","Columbia"
"FF","Conde"
"FH","Corona"
"FJ","Corsica"
"FL","Cottonwood"
"FN","Cresbard"
"FO","Crooks"
"FP","Custer"
"FR","Dallas"
"FT","Dante"
"FV","Davis"
"FX","Deadwood"
"FZ","Dell Rapids"
"GB","Delmont"
"GD","DeSmet"
"GE","Dimock"
"GF","Doland"
"GH","Dolton"
"GJ","Draper"
"GL","Dupree"
"GN","Eagle Butte"
"GP","Eden"
"GR","Edgemont"
"GT","Egan"
"GV","Elk Point"
"GX","Elkton"
"GZ","Emery"
"HB","Erwin"
"HF","Estelline"
"HH","Ethan"
"HJ","Eureka"
"HL","Fairburn"
"HN","Fairfax"
"HP","Fairview"
"HR","Faith"
"HT","Farmer"
"HV","Faulkton"
"HX","Flandreau"
"HZ","Florence"
"IB","Fort Pierre"
"ID","Frankfort"
"IF","Frederick"
"IH","Freeman"
"IJ","Fruitdale"
"IL","Fulton"
"IN","Garden City"
"IP","Garretson"
"IR","Gary"
"IT","Gayville"
"IV","Geddes"
"IX","Gettysburg"
"IZ","Glenham"
"JB","Goodwin"
"JD","Gregory"
"JF","Grenville"
"JH","Groton"
"JJ","Harrisburg"
"JL","Harrold"
"JN","Hartford"
"JP","Hayti"
"JR","Hazel"
"JT","Hecla"
"JV","Henry"
"JX","Hermosa"
"JZ","Herreid"
"KB","Herrick"
"KD","Hetland"
"KF","Highmore"
"KH","Hill City"
"KJ","Hillsview"
"KL","Hitchcock"
"KN","Hosmer"
"KP","Hot Springs"
"KR","Hoven"
"KT","Howard"
"KV","Hudson"
"KX","Humboldt"
"KZ","Hurley"
"LB","Huron"
"LD","Interior"
"LF","Ipswich"
"LH","Irene"
"LJ","Iroquois"
"LL","Isabel"
"LN","Java"
"LP","Jefferson"
"LR","Kadoka"
"LT","Kennebec"
"LU","Keystone"
"LV","Kimball"
"LX","Kranzburg"
"LZ","Labolt"
"MB","Lake Andes"
"MD","Lake City"
"MF","Lake Norden"
"MH","Lake Preston"
"MJ","Lane"
"ML","Langford"
"MN","Lead"
"MP","Lebanon"
"MR","Lemmon"
"MT","Lennox"
"MV","Leola"
"MX","Lesterville"
"MZ","Letcher"
"NB","Lily"
"ND","Long Lake"
"NF","Lowry"
"NJ","McIntosh"
"NL","McLaughlin"
"NN","Madison"
"NP","Marion"
"NR","Martin"
"NT","Marvin"
"NV","Mellette"
"NX","Menno"
"NZ","Midland"
"OB","Milbank"
"OD","Miller"
"OF","Mission"
"OH","Mission Hill"
"OJ","Mitchell"
"OL","Mobridge"
"ON","Monroe"
"OP","Montrose"
"OR","Morristown"
"OT","Mound City"
"OV","Mount Vernon"
"OX","Murdo"
"OZ","Naples"
"PB","New Effington"
"PD","Newell"
"PF","New Underwood"
"PH","Nisland"
"PJ","N. Sioux City"
"PL","Northville"
"PN","Nunda"
"PP","Oacoma"
"PR","Oelrichs"
"PT","Oldham"
"PV","Olivet"
"PX","Onaka"
"PZ","Onida"
"QB","Orient"
"QD","Ortley"
"QF","Parker"
"QH","Parkston"
"QJ","Peever"
"QL","Philip"
"QM","Pickstown"
"QN","Pierpont"
"QO","Piedmont"
"QP","Pierre"
"QT","Plankinton"
"QV","Platte"
"QX","Pollock"
"QZ","Presho"
"RB","Pringle"
"RD","Pukwana"
"RF","Quinn"
"RH","Ramona"
"RJ","Rapid City"
"RL","Ravinia"
"RN","Raymond"
"RP","Redfield"
"RR","Ree Heights"
"RT","Reliance"
"RV","Revillo"
"RX","Rockham"
"RZ","Roscoe"
"SB","Rosholt"
"SD","Roslyn"
"SF","Roswell"
"SH","St. Francis"
"SJ","St. Lawrence"
"SL","Salem"
"SN","Scotland"
"SP","Selby"
"SR","Seneca"
"ST","Sherman"
"SV","Sinai"
"SX","Sioux Falls"
"SZ","Sisseton"
"TB","South Shore"
"TD","Spearfish"
"TF","Spencer"
"TH","Springfield"
"TJ","Stickney"
"TL","Stockholm"
"TN","Strandburg"
"TP","Stratford"
"TR","Sturgis"
"TS","Summerset"
"TT","Summit"
"TV","Tabor"
"TX","Tea"
"TZ","Timber Lake"
"UB","Tolstoy"
"UD","Toronto"
"UF","Trent"
"UH","Tripp"
"UJ","Tulare"
"UL","Turton"
"UN","Twin Brooks"
"UP","Tyndall"
"UR","Utica"
"UT","Valley Springs"
"UV","Veblen"
"UX","Verdon"
"UZ","Vermillion"
"VB","Viborg"
"VD","Vienna"
"VF","Vilas"
"VH","Virgil"
"VJ","Volga"
"VL","Volin"
"VN","Wagner"
"VP","Wakonda"
"VR","Wall"
"VT","Valley Springs"
"VV","Ward"
"VW","Warner"
"VX","Wasta"
"VZ","Watertown"
"WB","Waubay"
"WD","Webster"
"WF","Wentworth"
"WH","Wessington"
"WJ","Wessington Springs"
"WK","Westport"
"WL","Wetonka"
"WN","White"
"WP","White Lake"
"WR","White River"
"WT","White Rock"
"WV","Whitewood"
"WX","Willow Lake"
"WZ","Wilmot"
"XD","Winner"
"XF","New Witten"
"XH","Wolsey"
"XJ","Wood"
"XL","Woonsocket"
"XN","Worthing"
"XP","Yale"
"XR","Yankton"
